,2023年上海国际电影节排片表,,,,,,,,,,
ID,中文片名,英文片名,导演,制片国/地区,时长,日期,放映时间,影院,影厅,影院地址,余票
699,侏罗纪世界3 (4K),JURASSIC WORLD：DOMINION (4K),科林·特莱沃若,美国,147,6月10日,15:30,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
700,侏罗纪世界3 (4K),JURASSIC WORLD：DOMINION (4K),科林·特莱沃若,美国,147,6月11日,15:30,上海和平影都,杜比全景声厅,黄浦区西藏中路290号,50
701,侏罗纪世界3 (4K),JURASSIC WORLD：DOMINION (4K),科林·特莱沃若,美国,147,6月17日,15:30,万达影城（宝山万达广场激光IMAX店）,10号厅,宝山区一二八纪念路936号5楼,50
702,侏罗纪世界3 (4K),JURASSIC WORLD：DOMINION (4K),科林·特莱沃若,美国,147,6月17日,18:30,嘉定影剧院,三号剧院大厅,嘉定区城中路149号,50
703,侏罗纪世界3 (4K),JURASSIC WORLD：DOMINION (4K),科林·特莱沃若,美国,147,6月18日,15:30,上海百丽宫影城（陆家嘴中心店）,LUXE厅,浦东新区浦东南路889号陆家嘴中心商场10层L1001单元,50
704,苦乐参半,BITTERSWEET RAIN,哈罗尔多·博尔热斯,巴西,110,6月10日,13:00,华谊兄弟上海长风店,2号厅（4K SUPER CINEMA）,普陀区大渡河路196号长风大悦城5楼华谊兄弟上海影院,50
705,苦乐参半,BITTERSWEET RAIN,哈罗尔多·博尔热斯,巴西,110,6月11日,18:30,万达影城（宝山万达广场激光IMAX店）,10号厅,宝山区一二八纪念路936号5楼,50
706,苦乐参半,BITTERSWEET RAIN,哈罗尔多·博尔热斯,巴西,110,6月17日,15:30,上海百丽宫影城（LUXE协信店）,LUXE激光厅,静安区江场路1228弄21号协信星光广场3楼NL303,50
707,旅行的代价,THE CHANNEL,蒂埃里·比尼斯蒂,"法国,比利时",102,6月11日,18:30,红星电影世界上海松江开元地中海,1号厅,松江区新松江路927号4F,50
708,旅行的代价,THE CHANNEL,蒂埃里·比尼斯蒂,"法国,比利时",102,6月12日,18:30,万达影城（宝山万达广场激光IMAX店）,10号厅,宝山区一二八纪念路936号5楼,50
709,旅行的代价,THE CHANNEL,蒂埃里·比尼斯蒂,"法国,比利时",102,6月16日,18:30,SFC上影影城（LaLaport上海金桥店）,1号LUXE 杜比全景声厅,浦东新区新金桥路738号啦啦宝都611号店铺,50
710,旅行的代价,THE CHANNEL,蒂埃里·比尼斯蒂,"法国,比利时",102,6月17日,18:30,SFC上影影城（丁香路LUXE店）,5号LUXE巨幕厅,浦东新区丁香路858号3楼,50
711,旅行的代价,THE CHANNEL,蒂埃里·比尼斯蒂,"法国,比利时",102,6月18日,13:00,CMG融媒影城,8号厅（杜比全景声CINITY）,徐汇区龙文路19号1-4层,50
712,命运,DESTINY,亚西尔·塔莱比,伊朗,70,6月10日,20:40,上海大光明电影院,3号厅,黄浦区南京西路216号,50
713,命运,DESTINY,亚西尔·塔莱比,伊朗,70,6月11日,18:30,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
714,命运,DESTINY,亚西尔·塔莱比,伊朗,70,6月13日,18:30,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,50
715,命运,DESTINY,亚西尔·塔莱比,伊朗,70,6月18日,13:00,红星电影世界上海吴中路旗舰店,10号厅LUXE巨幕厅,闵行区吴中路1588号爱琴海购物公园7楼,50
716,人生初日,THE FIRST DAY OF MY LIFE,保罗·杰诺维塞,意大利,122,6月15日,15:30,SFC上海影城,2号厅Onyx,长宁区新华路160号,50
717,人生初日,THE FIRST DAY OF MY LIFE,保罗·杰诺维塞,意大利,122,6月16日,20:40,SFC上影影城（美罗城店）,4号厅,徐汇区肇嘉浜路1111号美罗城5楼,50
718,人生初日,THE FIRST DAY OF MY LIFE,保罗·杰诺维塞,意大利,122,6月17日,15:30,朵云轩杜比全景声影城,1号厅,徐汇区天钥桥路1188号5楼,50
719,人生初日,THE FIRST DAY OF MY LIFE,保罗·杰诺维塞,意大利,122,6月18日,20:40,上海百丽宫影城（LUXE协信店）,LUXE激光厅,静安区江场路1228弄21号协信星光广场3楼NL303,50
720,罗马王子 (4K),THE PRINCE OF ROME (4K),爱德华多·玛利亚·法尔科内,意大利,93,6月10日,18:30,朵云轩杜比全景声影城,1号厅,徐汇区天钥桥路1188号5楼,50
721,罗马王子 (4K),THE PRINCE OF ROME (4K),爱德华多·玛利亚·法尔科内,意大利,93,6月12日,18:30,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,50
722,罗马王子 (4K),THE PRINCE OF ROME (4K),爱德华多·玛利亚·法尔科内,意大利,93,6月13日,18:30,华谊兄弟上海长风店,2号厅（4K SUPER CINEMA）,普陀区大渡河路196号长风大悦城5楼华谊兄弟上海影院,50
723,乡愁,NOSTALGIA,马里奥·马尔托内,意大利,118,6月10日,20:40,SFC上影影城（美罗城店）,4号厅,徐汇区肇嘉浜路1111号美罗城5楼,50
724,乡愁,NOSTALGIA,马里奥·马尔托内,意大利,118,6月11日,20:40,上海百丽宫影城（LUXE长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,50
725,乡愁,NOSTALGIA,马里奥·马尔托内,意大利,118,6月17日,20:40,上海百丽宫影城（LUXE协信店）,LUXE激光厅,静安区江场路1228弄21号协信星光广场3楼NL303,50
726,亲密,CLOSE,卢卡斯·德霍特,"比利时,法国",104,6月11日,10:30,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,50
727,亲密,CLOSE,卢卡斯·德霍特,"比利时,法国",104,6月12日,13:00,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,50
728,亲密,CLOSE,卢卡斯·德霍特,"比利时,法国",104,6月14日,18:30,上海大光明电影院,1号厅,黄浦区南京西路216号,50
729,亲密,CLOSE,卢卡斯·德霍特,"比利时,法国",104,6月16日,18:30,SFC上海影城,1号厅杜比剧场,长宁区新华路160号,50
730,亲密,CLOSE,卢卡斯·德霍特,"比利时,法国",104,6月18日,18:30,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,50
731,八座山 (4K),THE EIGHT MOUNTAINS (4K),菲力斯·范·古宁根 ,意大利,147,6月9日,15:30,上海美琪大戏院,观众厅,静安区江宁路66号,50
732,八座山 (4K),THE EIGHT MOUNTAINS (4K),菲力斯·范·古宁根 ,意大利,147,6月10日,15:30,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
733,八座山 (4K),THE EIGHT MOUNTAINS (4K),菲力斯·范·古宁根 ,意大利,147,6月17日,15:30,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,50
734,中间时代,THE MIDDLE AGES,"阿列霍·莫吉兰斯基, 卢西亚娜·阿库纳",阿根廷,90,6月10日,18:30,万达影城（宝山万达广场激光IMAX店）,10号厅,宝山区一二八纪念路936号5楼,50
735,中间时代,THE MIDDLE AGES,"阿列霍·莫吉兰斯基, 卢西亚娜·阿库纳",阿根廷,90,6月14日,20:40,SFC上影影城（丁香路LUXE店）,5号LUXE巨幕厅,浦东新区丁香路858号3楼,50
736,中间时代,THE MIDDLE AGES,"阿列霍·莫吉兰斯基, 卢西亚娜·阿库纳",阿根廷,90,6月17日,18:30,SFC上影国际影城（港城店）,4号厅,浦东新区南汇新城镇茉莉路225弄26号港城新天地A座2楼,50
737,我的记忆,THIS IS WHAT I REMEMBER,阿克坦·阿布德卡雷科夫,"吉尔吉斯斯坦,日本,荷兰",105,6月11日,15:30,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
738,我的记忆,THIS IS WHAT I REMEMBER,阿克坦·阿布德卡雷科夫,"吉尔吉斯斯坦,日本,荷兰",105,6月12日,18:30,华谊兄弟上海长风店,2号厅（4K SUPER CINEMA）,普陀区大渡河路196号长风大悦城5楼华谊兄弟上海影院,50
739,菲律宾暴力史,A TALE OF FILIPINO VIOLENCE,拉夫·迪亚兹,菲律宾,413,6月17日,13:00,上海和平影都,杜比全景声厅,黄浦区西藏中路290号,50
740,菲律宾暴力史,A TALE OF FILIPINO VIOLENCE,拉夫·迪亚兹,菲律宾,413,6月18日,13:00,上海百丽宫影城（LUXE长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,50
741,孤独的阿曼达,AMANDA,卡罗莱纳·卡瓦里,"意大利,法国",95,6月10日,15:30,红星电影世界上海吴中路旗舰店,10号厅LUXE巨幕厅,闵行区吴中路1588号爱琴海购物公园7楼,50
742,孤独的阿曼达,AMANDA,卡罗莱纳·卡瓦里,"意大利,法国",95,6月11日,18:30,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,50
743,孤独的阿曼达,AMANDA,卡罗莱纳·卡瓦里,"意大利,法国",95,6月17日,13:00,上海百丽宫影城（LUXE长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,50
744,公主的品格 (4K),CORSAGE (4K),玛丽·克鲁泽,"奥地利,卢森堡,法国",115,6月9日,20:40,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
745,公主的品格 (4K),CORSAGE (4K),玛丽·克鲁泽,"奥地利,卢森堡,法国",115,6月15日,20:40,朵云轩杜比全景声影城,1号厅,徐汇区天钥桥路1188号5楼,50
746,公主的品格 (4K),CORSAGE (4K),玛丽·克鲁泽,"奥地利,卢森堡,法国",115,6月16日,20:40,上海科技影城,3号厅,黄浦区南昌路59号3楼,50
747,公主的品格 (4K),CORSAGE (4K),玛丽·克鲁泽,"奥地利,卢森堡,法国",115,6月18日,20:40,博纳UA梅龙镇广场电影城,3号厅,静安区南京西路1038号梅龙镇广场10楼,50
748,坏孩子们,THE WORST ONES,丽丝·阿科卡 / 罗曼·格雷特,法国,101,6月11日,20:40,博纳UA梅龙镇广场电影城,3号厅,静安区南京西路1038号梅龙镇广场10楼,50
749,坏孩子们,THE WORST ONES,丽丝·阿科卡 / 罗曼·格雷特,法国,101,6月12日,18:30,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,50
750,坏孩子们,THE WORST ONES,丽丝·阿科卡 / 罗曼·格雷特,法国,101,6月16日,13:00,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
751,坏孩子们,THE WORST ONES,丽丝·阿科卡 / 罗曼·格雷特,法国,101,6月17日,18:30,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
752,磁场,MAGNETIC FIELDS,乔戈斯·古西斯,希腊,81,6月11日,18:30,博纳UA梅龙镇广场电影城,3号厅,静安区南京西路1038号梅龙镇广场10楼,50
753,磁场,MAGNETIC FIELDS,乔戈斯·古西斯,希腊,81,6月13日,20:40,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
754,磁场,MAGNETIC FIELDS,乔戈斯·古西斯,希腊,81,6月15日,18:30,SFC上影影城（美罗城店）,4号厅,徐汇区肇嘉浜路1111号美罗城5楼,50
755,磁场,MAGNETIC FIELDS,乔戈斯·古西斯,希腊,81,6月17日,20:40,上海百丽宫影城（LUXE长宁来福士店）,激光3号厅,长宁区长宁路1123号七层701-703,50
756,摩托竞技会,RODEO,洛拉·基沃龙,法国,106,6月11日,18:30,CGV影城（白玉兰广场IMAX店）,8号厅,虹口区东长治路588号上海白玉兰广场商业裙房3层11号铺位,50
757,摩托竞技会,RODEO,洛拉·基沃龙,法国,106,6月14日,15:30,上海百美汇影城（静安嘉里中心店）,4K激光1号厅,静安区南京西路1551号嘉里中心N4-01,50
758,摩托竞技会,RODEO,洛拉·基沃龙,法国,106,6月18日,18:30,橙天嘉禾影城（上海世纪汇CINITY店）,2号CINITY厅,浦东新区世纪大道1192号5楼022商铺,50
759,送餐乐翻天,ZWIGATO,兰迪塔·达斯,印度,104,6月12日,20:40,天山电影院-虹桥艺术中心旗舰店,4号厅,长宁区天山路888号,50
760,送餐乐翻天,ZWIGATO,兰迪塔·达斯,印度,104,6月16日,20:40,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
761,风的气息,SCENT OF WIND,哈迪·默哈黑,伊朗,91,6月11日,18:30,SFC上影影城（LaLaport上海金桥店）,1号LUXE 杜比全景声厅,浦东新区新金桥路738号啦啦宝都611号店铺,50
762,风的气息,SCENT OF WIND,哈迪·默哈黑,伊朗,91,6月16日,18:30,万达影城（宝山万达广场激光IMAX店）,10号厅,宝山区一二八纪念路936号5楼,50
763,风的气息,SCENT OF WIND,哈迪·默哈黑,伊朗,91,6月18日,13:00,橙天嘉禾影城（上海世纪汇CINITY店）,2号CINITY厅,浦东新区世纪大道1192号5楼022商铺,50
764,村庄,VILLAGE,藤井道人,日本,121,6月11日,13:00,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,50
765,村庄,VILLAGE,藤井道人,日本,121,6月12日,13:00,上海美琪大戏院,观众厅,静安区江宁路66号,50
766,村庄,VILLAGE,藤井道人,日本,121,6月14日,13:00,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,50
767,村庄,VILLAGE,藤井道人,日本,121,6月17日,10:30,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
768,村庄,VILLAGE,藤井道人,日本,121,6月18日,15:30,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,50
769,MONDAYS/如果不让上司注意到这个时间循环就无法结束,MONDAYS:SEE YOU “THIS” WEEK,竹林亮,日本,93,6月10日,18:30,上海大光明电影院,1号厅,黄浦区南京西路216号,50
770,MONDAYS/如果不让上司注意到这个时间循环就无法结束,MONDAYS:SEE YOU “THIS” WEEK,竹林亮,日本,93,6月13日,18:30,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,50
771,MONDAYS/如果不让上司注意到这个时间循环就无法结束,MONDAYS:SEE YOU “THIS” WEEK,竹林亮,日本,93,6月14日,18:30,SFC上海影城,1号厅杜比剧场,长宁区新华路160号,50
772,在窗边,BY THE WINDOW,今泉力哉,日本,144,6月10日,15:30,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
773,在窗边,BY THE WINDOW,今泉力哉,日本,144,6月11日,15:30,UME影城（上海新天地店）,Onyx 4K LED巨幕厅,黄浦区兴业路123弄6号楼新天地时尚I座5楼,50
774,在窗边,BY THE WINDOW,今泉力哉,日本,144,6月13日,15:30,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,50
775,在窗边,BY THE WINDOW,今泉力哉,日本,144,6月15日,15:30,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,50
776,在窗边,BY THE WINDOW,今泉力哉,日本,144,6月18日,15:30,博纳UA梅龙镇广场电影城,2号全景声厅,静安区南京西路1038号梅龙镇广场10楼,50
777,658公里、阳子的旅途,YOKO,熊切和嘉,日本,113,6月16日,20:40,SFC上海影城,2号厅Onyx,长宁区新华路160号,50
778,658公里、阳子的旅途,YOKO,熊切和嘉,日本,113,6月17日,13:00,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,50
779,658公里、阳子的旅途,YOKO,熊切和嘉,日本,113,6月18日,15:30,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
780,世界的阿菊,OKIKU AND THE WORLD,阪本顺治,日本,91,6月9日,18:30,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
781,世界的阿菊,OKIKU AND THE WORLD,阪本顺治,日本,91,6月11日,18:30,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,50
782,世界的阿菊,OKIKU AND THE WORLD,阪本顺治,日本,91,6月12日,18:30,曹杨影城,1号4K激光厅,普陀区兰溪路125号2楼,50
783,世界的阿菊,OKIKU AND THE WORLD,阪本顺治,日本,91,6月14日,18:30,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,50
784,世界的阿菊,OKIKU AND THE WORLD,阪本顺治,日本,91,6月15日,10:30,上海市沪北电影院,1号厅,静安区洛川东路500号3楼,50
785,世界的阿菊,OKIKU AND THE WORLD,阪本顺治,日本,91,6月18日,18:30,上海美琪大戏院,观众厅,静安区江宁路66号,50
786,和毛绒公仔说话的人很温柔,PEOPLE WHO TALK TO PLUSHIES ARE KIND,金子由里奈,日本,110,6月14日,13:00,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
787,和毛绒公仔说话的人很温柔,PEOPLE WHO TALK TO PLUSHIES ARE KIND,金子由里奈,日本,110,6月15日,13:00,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,50
788,和毛绒公仔说话的人很温柔,PEOPLE WHO TALK TO PLUSHIES ARE KIND,金子由里奈,日本,110,6月18日,10:30,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
789,死亡护理师,DO UNTO OTHERS,前田哲,日本,115,6月11日,10:30,上海大光明电影院,1号厅,黄浦区南京西路216号,50
790,死亡护理师,DO UNTO OTHERS,前田哲,日本,115,6月13日,10:30,FANCL艺术中心（艺海剧院）,大剧场,静安区江宁路466号,50
791,死亡护理师,DO UNTO OTHERS,前田哲,日本,115,6月15日,10:30,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
792,死亡护理师,DO UNTO OTHERS,前田哲,日本,115,6月17日,10:30,上海美琪大戏院,观众厅,静安区江宁路66号,50
793,死亡护理师,DO UNTO OTHERS,前田哲,日本,115,6月18日,10:30,天山电影院-虹桥艺术中心旗舰店,剧院厅,长宁区天山路888号,50
794,瓦莱里娅要结婚了,VALERIA IS GETTING MARRIED,米哈尔·维尼克,以色列,77,6月9日,18:30,AMG海上明珠影城环球港店,RealD 7号厅,普陀区中山北路3300号环球港L4039,50
795,瓦莱里娅要结婚了,VALERIA IS GETTING MARRIED,米哈尔·维尼克,以色列,77,6月11日,20:40,SFC上影影城（丁香路LUXE店）,5号LUXE巨幕厅,浦东新区丁香路858号3楼,50
796,瓦莱里娅要结婚了,VALERIA IS GETTING MARRIED,米哈尔·维尼克,以色列,77,6月16日,18:30,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
797,瓦莱里娅要结婚了,VALERIA IS GETTING MARRIED,米哈尔·维尼克,以色列,77,6月17日,18:30,万达影城（金山万达广场IMAX店）,5号厅,金山区龙皓路1188号万达广场4楼,50
798,子弹列车 (DOLBY VISION),BULLET TRAIN (DOLBY VISION),大卫·雷奇,"日本,美国",127,6月10日,18:30,万达影城（五角场万达广场IMAX店）,13号杜比影院,"杨浦区国宾路58号五角场万达商业广场3层
",50
799,子弹列车 (DOLBY VISION),BULLET TRAIN (DOLBY VISION),大卫·雷奇,"日本,美国",127,6月11日,15:30,红星电影世界上海吴中路旗舰店,11号杜比影院,闵行区吴中路1588号爱琴海购物公园7楼,50
800,子弹列车 (DOLBY VISION),BULLET TRAIN (DOLBY VISION),大卫·雷奇,"日本,美国",127,6月17日,15:30,红星电影世界上海吴中路旗舰店,11号杜比影院,闵行区吴中路1588号爱琴海购物公园7楼,50
801,子弹列车 (DOLBY VISION),BULLET TRAIN (DOLBY VISION),大卫·雷奇,"日本,美国",127,6月17日,18:30,万达影城（五角场万达广场IMAX店）,13号杜比影院,"杨浦区国宾路58号五角场万达商业广场3层
",50
802,子弹列车 (DOLBY VISION),BULLET TRAIN (DOLBY VISION),大卫·雷奇,"日本,美国",127,6月18日,15:30,万达影城（五角场万达广场IMAX店）,13号杜比影院,"杨浦区国宾路58号五角场万达商业广场3层
",50
803,子弹列车 (DOLBY VISION),BULLET TRAIN (DOLBY VISION),大卫·雷奇,"日本,美国",127,6月18日,18:30,红星电影世界上海吴中路旗舰店,11号杜比影院,闵行区吴中路1588号爱琴海购物公园7楼,50
804,月球时代白日梦 (IMAX),MOONAGE DAYDREAM (IMAX),布莱特·摩根,"德国,美国",136,6月10日,15:30,SFC上影影城（港汇永华IMAX店）,IMAX厅,徐汇区虹桥路1号6层616/6M01,50
805,月球时代白日梦 (IMAX),MOONAGE DAYDREAM (IMAX),布莱特·摩根,"德国,美国",136,6月10日,18:30,寰映影城（大融城店）,激光IMAX厅,静安区沪太路1111弄10号1号楼3层,50
806,月球时代白日梦 (IMAX),MOONAGE DAYDREAM (IMAX),布莱特·摩根,"德国,美国",136,6月11日,15:30,SFC上影影城（港汇永华IMAX店）,IMAX厅,徐汇区虹桥路1号6层616/6M01,50
807,月球时代白日梦 (IMAX),MOONAGE DAYDREAM (IMAX),布莱特·摩根,"德国,美国",136,6月11日,18:30,寰映影城（大融城店）,激光IMAX厅,静安区沪太路1111弄10号1号楼3层,50
808,月球时代白日梦 (IMAX),MOONAGE DAYDREAM (IMAX),布莱特·摩根,"德国,美国",136,6月15日,18:30,寰映影城（大融城店）,激光IMAX厅,静安区沪太路1111弄10号1号楼3层,50
809,月球时代白日梦 (IMAX),MOONAGE DAYDREAM (IMAX),布莱特·摩根,"德国,美国",136,6月17日,15:30,SFC上影影城（港汇永华IMAX店）,IMAX厅,徐汇区虹桥路1号6层616/6M01,50
810,猫王 (DOLBY VISION),ELVIS (DOLBY VISION),巴兹·鲁赫曼,美国,159,6月10日,15:30,万达影城（五角场万达广场IMAX店）,13号杜比影院,"杨浦区国宾路58号五角场万达商业广场3层
",50
811,猫王 (DOLBY VISION),ELVIS (DOLBY VISION),巴兹·鲁赫曼,美国,159,6月10日,18:30,红星电影世界上海吴中路旗舰店,11号杜比影院,闵行区吴中路1588号爱琴海购物公园7楼,50
812,猫王 (DOLBY VISION),ELVIS (DOLBY VISION),巴兹·鲁赫曼,美国,159,6月11日,18:30,红星电影世界上海吴中路旗舰店,11号杜比影院,闵行区吴中路1588号爱琴海购物公园7楼,50
813,猫王 (DOLBY VISION),ELVIS (DOLBY VISION),巴兹·鲁赫曼,美国,159,6月17日,15:30,万达影城（五角场万达广场IMAX店）,13号杜比影院,"杨浦区国宾路58号五角场万达商业广场3层
",50
814,猫王 (DOLBY VISION),ELVIS (DOLBY VISION),巴兹·鲁赫曼,美国,159,6月18日,15:30,红星电影世界上海吴中路旗舰店,11号杜比影院,闵行区吴中路1588号爱琴海购物公园7楼,50
815,猫王 (DOLBY VISION),ELVIS (DOLBY VISION),巴兹·鲁赫曼,美国,159,6月18日,18:30,万达影城（五角场万达广场IMAX店）,13号杜比影院,"杨浦区国宾路58号五角场万达商业广场3层
",50
816,我的名字是阿尔弗雷德·希区柯克,MY NAME IS ALFRED HITCHCOCK,马克·卡曾斯,英国,120,6月10日,20:40,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
817,我的名字是阿尔弗雷德·希区柯克,MY NAME IS ALFRED HITCHCOCK,马克·卡曾斯,英国,120,6月11日,15:30,上海百丽宫影城（LUXE长宁来福士店）,LUXE激光巨幕厅,长宁区长宁路1123号七层701-703,50
818,我的名字是阿尔弗雷德·希区柯克,MY NAME IS ALFRED HITCHCOCK,马克·卡曾斯,英国,120,6月14日,15:30,上海和平影都,杜比全景声厅,黄浦区西藏中路290号,50
819,我的名字是阿尔弗雷德·希区柯克,MY NAME IS ALFRED HITCHCOCK,马克·卡曾斯,英国,120,6月17日,10:30,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,50
820,我的名字是阿尔弗雷德·希区柯克,MY NAME IS ALFRED HITCHCOCK,马克·卡曾斯,英国,120,6月18日,13:00,博纳UA梅龙镇广场电影城,2号全景声厅,静安区南京西路1038号梅龙镇广场10楼,50
821,棒球运动员,THE BASEBALL PLAYER,卡洛·奥比斯波,菲律宾,72,6月17日,13:00,博纳UA梅龙镇广场电影城,2号全景声厅,静安区南京西路1038号梅龙镇广场10楼,50
822,棒球运动员,THE BASEBALL PLAYER,卡洛·奥比斯波,菲律宾,72,6月18日,18:30,SFC上影影城（美罗城店）,4号厅,徐汇区肇嘉浜路1111号美罗城5楼,50
823,马哈茂的中年激情,THE PASSION OF MAHMOUD,达沃德•阿卜杜勒马利基,伊朗,105,6月10日,13:00,SFC上影影城（美罗城店）,4号厅,徐汇区肇嘉浜路1111号美罗城5楼,50
824,马哈茂的中年激情,THE PASSION OF MAHMOUD,达沃德•阿卜杜勒马利基,伊朗,105,6月15日,20:40,上海百丽宫影城（环贸iapm店）,激光6号厅,徐汇区淮海中路999号L6-601,50
825,马哈茂的中年激情,THE PASSION OF MAHMOUD,达沃德•阿卜杜勒马利基,伊朗,105,6月18日,18:30,SFC上影影城（LaLaport上海金桥店）,1号LUXE 杜比全景声厅,浦东新区新金桥路738号啦啦宝都611号店铺,50
826,他的自传,AUTOBIOGRAPHY,马克布尔·穆巴拉克,"印度尼西亚,法国,新加坡",115,6月11日,15:30,黄浦剧场,中剧场,黄浦区北京东路780号,50
827,他的自传,AUTOBIOGRAPHY,马克布尔·穆巴拉克,"印度尼西亚,法国,新加坡",115,6月15日,20:40,博纳UA梅龙镇广场电影城,2号全景声厅,静安区南京西路1038号梅龙镇广场10楼,50
828,他的自传,AUTOBIOGRAPHY,马克布尔·穆巴拉克,"印度尼西亚,法国,新加坡",115,6月18日,13:00,上海科技影城,3号厅,黄浦区南昌路59号3楼,50
829,片场风云,WORLD WAR III,哈曼·赛耶迪,伊朗,107,6月11日,10:30,SFC上海影城,3号厅杜比全景声,长宁区新华路160号,50
830,片场风云,WORLD WAR III,哈曼·赛耶迪,伊朗,107,6月12日,13:00,天山电影院-宛平剧院影城,1号厅,徐汇区中山南二路859号,50
831,片场风云,WORLD WAR III,哈曼·赛耶迪,伊朗,107,6月13日,13:00,上海百丽宫影城（万象城店）,CINITY LUXE巨幕厅,闵行区吴中路1599号L501商铺,50
832,片场风云,WORLD WAR III,哈曼·赛耶迪,伊朗,107,6月17日,20:40,博纳UA梅龙镇广场电影城,3号厅,静安区南京西路1038号梅龙镇广场10楼,50
833,片场风云,WORLD WAR III,哈曼·赛耶迪,伊朗,107,6月18日,10:30,上海和平影都,杜比全景声厅,黄浦区西藏中路290号,50
834,世界之王,THE KINGS OF THE WORLD,劳拉·莫拉,"哥伦比亚,卢森堡,墨西哥,法国,挪威",111,6月10日,13:00,上海百丽宫影城（LUXE协信店）,LUXE激光厅,静安区江场路1228弄21号协信星光广场3楼NL303,50
835,世界之王,THE KINGS OF THE WORLD,劳拉·莫拉,"哥伦比亚,卢森堡,墨西哥,法国,挪威",111,6月15日,20:40,上海大光明电影院,2号厅,黄浦区南京西路216号,50
836,世界之王,THE KINGS OF THE WORLD,劳拉·莫拉,"哥伦比亚,卢森堡,墨西哥,法国,挪威",111,6月18日,13:00,华谊兄弟上海长风店,2号厅（4K SUPER CINEMA）,普陀区大渡河路196号长风大悦城5楼华谊兄弟上海影院,50
837,被惹怒的电影人,THE ANNOYED,梅赫迪·法德·加德瑞,伊朗,82,6月15日,13:00,SFC上海影城,2号厅Onyx,长宁区新华路160号,50
838,被惹怒的电影人,THE ANNOYED,梅赫迪·法德·加德瑞,伊朗,82,6月17日,10:30,AMG海上明珠影城环球港店,RealD 7号厅,普陀区中山北路3300号环球港L4039,50
839,被惹怒的电影人,THE ANNOYED,梅赫迪·法德·加德瑞,伊朗,82,6月18日,20:40,上海大光明电影院,3号厅,黄浦区南京西路216号,50
840,大厅里的怪物,NORMALE,奥利维耶·巴比内,法国,88,6月11日,20:40,红星电影世界上海吴中路旗舰店,10号厅LUXE巨幕厅,闵行区吴中路1588号爱琴海购物公园7楼,50
841,大厅里的怪物,NORMALE,奥利维耶·巴比内,法国,88,6月13日,20:40,AMG海上明珠影城环球港店,RealD 7号厅,普陀区中山北路3300号环球港L4039,50
842,大厅里的怪物,NORMALE,奥利维耶·巴比内,法国,88,6月16日,20:40,黄浦剧场,中剧场,黄浦区北京东路780号,50
